col_name
OV. COST
OP. COST
MRG. PRICE
CO2 EMIS.
DTG by plant
BALANCE
ROW BAL.
PSP
MISC. NDG
LOAD
H. ROR
WIND
SOLAR
NUCLEAR
LIGNITE
COAL
GAS
OIL
MIX. FUEL
MISC. DTG
H. STOR
H. PUMP
H. LEV
H. INFL
H. OVFL
H. VAL
H. COST
UNSP. ENRG
SPIL. ENRG
LOLD
LOLP
AVL DTG
DTG MRG
MAX MRG
NP COST
NP Cost by plant
NODU
NODU by plant
FLOW LIN.
UCAP LIN.
LOOP FLOW
FLOW QUAD.
CONG. FEE (ALG.)
CONG. FEE (ABS.)
MARG. COST
CONG. PROB +
CONG. PROB -
HURDLE COST
RES generation by plant
MISC. DTG 2
MISC. DTG 3
MISC. DTG 4
WIND OFFSHORE
WIND ONSHORE
SOLAR CONCRT.
SOLAR PV
SOLAR ROOFT
RENW. 1
RENW. 2
RENW. 3
RENW. 4
DENS
Profit by plant
BC. MARG. COST
LMR VIOL.
SPIL. ENRG. CSR
DTG MRG CSR
NH3 EMIS.
SO2 EMIS.
NOX EMIS.
PM2_5 EMIS.
PM5 EMIS.
PM10 EMIS.
NMVOC EMIS.
OP1 EMIS.
OP2 EMIS.
OP3 EMIS.
OP4 EMIS.
OP5 EMIS.
PSP_OPEN_INJECTION
PSP_OPEN_WITHDRAWAL
PSP_OPEN_LEVEL
PSP_CLOSED_INJECTION
PSP_CLOSED_WITHDRAWAL
PSP_CLOSED_LEVEL
PONDAGE_INJECTION
PONDAGE_WITHDRAWAL
PONDAGE_LEVEL
BATTERY_INJECTION
BATTERY_WITHDRAWAL
BATTERY_LEVEL
OTHER1_INJECTION
OTHER1_WITHDRAWAL
OTHER1_LEVEL
OTHER2_INJECTION
OTHER2_WITHDRAWAL
OTHER2_LEVEL
OTHER3_INJECTION
OTHER3_WITHDRAWAL
OTHER3_LEVEL
OTHER4_INJECTION
OTHER4_WITHDRAWAL
OTHER4_LEVEL
OTHER5_INJECTION
OTHER5_WITHDRAWAL
OTHER5_LEVEL
STS INJ BY PLANT
STS WITHDRAWAL BY PLANT
STS LVL BY PLANT
PriceCSR
UNSP. ENRG CSR
LOLD_CSR
LOLP_CSR
MAX MRG CSR
OV. COST CSR
STS Cashflow By Cluster
