group;name;otype;dclass;dim
/monthly/links/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/monthly/links/mcInd/structure;variable;H5I_DATASET;STRING;10
/monthly;time;H5I_DATASET;COMPOUND;12
/;weekly;H5I_GROUP;;
/weekly;areas;H5I_GROUP;;
/weekly/areas;mcAll;H5I_GROUP;;
/weekly/areas/mcAll;data;H5I_DATASET;FLOAT;53 x 99 x 18 x 1
/weekly/areas/mcAll;structure;H5I_GROUP;;
/weekly/areas/mcAll/structure;area;H5I_DATASET;STRING;18
/weekly/areas/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/weekly/areas/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/weekly/areas/mcAll/structure;variable;H5I_DATASET;STRING;99
/weekly/areas;mcInd;H5I_GROUP;;
/weekly/areas/mcInd;data;H5I_DATASET;FLOAT;53 x 30 x 18 x 29
/weekly/areas/mcInd;structure;H5I_GROUP;;
/weekly/areas/mcInd/structure;area;H5I_DATASET;STRING;18
/weekly/areas/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/weekly/areas/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/weekly/areas/mcInd/structure;variable;H5I_DATASET;STRING;30
/weekly;attrib;H5I_DATASET;STRING;1
/weekly;clusters;H5I_GROUP;;
/weekly/clusters;mcAll;H5I_GROUP;;
/weekly/clusters/mcAll;data;H5I_DATASET;FLOAT;53 x 4 x 114 x 1
/weekly/clusters/mcAll;structure;H5I_GROUP;;
/weekly/clusters/mcAll/structure;cluster;H5I_DATASET;STRING;114
/weekly/clusters/mcAll/structure;mcYear;H5I_DATASET;STRING;1
/weekly/clusters/mcAll/structure;reCalcVar;H5I_DATASET;STRING;300
/weekly/clusters/mcAll/structure;variable;H5I_DATASET;STRING;4
/weekly/clusters;mcInd;H5I_GROUP;;
/weekly/clusters/mcInd;data;H5I_DATASET;FLOAT;53 x 4 x 114 x 29
/weekly/clusters/mcInd;structure;H5I_GROUP;;
/weekly/clusters/mcInd/structure;cluster;H5I_DATASET;STRING;114
/weekly/clusters/mcInd/structure;mcYear;H5I_DATASET;FLOAT;29
/weekly/clusters/mcInd/structure;reCalcVar;H5I_DATASET;STRING;300
/weekly/clusters/mcInd/structure;variable;H5I_DATASET;STRING;4
/weekly;inputs;H5I_GROUP;;
/weekly/inputs;buildingcte;H5I_DATASET;STRING;1
/weekly/inputs;cldesc;H5I_DATASET;STRING;1
/weekly/inputs;layout;H5I_DATASET;STRING;1
/weekly;links;H5I_GROUP;;
/weekly/links;mcAll;H5I_GROUP;;
/weekly/links/mcAll;data;H5I_DATASET;FLOAT;53 x 28 x 45 x 1
/weekly/links/mcAll;structure;H5I_GROUP;;
/weekly/links/mcAll/structure;link;H5I_DATASET;STRING;45
